0 0
0 0
0 0
0 0
0 0
0 0
0 0
0 0
0 0
0 0
0 0
0 0
0 0
0 0
0 0
0 0
0 0
0 0
0 0
0 0
0 0
0 0
0 0
0 0
0 0
0 0
0 0
0 0
0 0
0 0
0 0
0 0
0 0
0 0
0 0
0 0
0 0
0 0
0 0
0 0
0 0
0 0
0 0
0 0
0 0
0 0
0 0
0 0
0 0
0 0
0 0
0 0
0 0
0 0
0 0
0 0
0 0
0 0
0 0
0 0
0 0
0 0
0 0
0 0
0 0
0 0
0 0
0 0
0 0
0 0
0 0
0 0
0 0
0 0
0 0
0 0
0 0
0 0
0 0
0 0
0 0
0 0
0 0
0 0
0 0
0 0
0 0
0 0
0 0
0 0
0 0
0 0
0 0
0 0
0 0
0 0
0 0
0 0
0 0
0 0
0.01 0
0.01 0
0.01 0
0.01 0
0.01 0
0.01 0
0.01 0
0.01 0
0.01 0
0.01 0
0.01 0
0.01 0
0.01 0
0.01 0
0.01 0
0.01 0
0.01 0
0.01 0
0.01 0
0.01 0
0.01 0
0.01 0
0.01 0
0.01 0
0.01 0
0.01 0
0.01 0
0.01 0
0.01 0
0.01 0
0.01 0
0.01 0
0.01 0
0.01 0
0.01 0
0.01 0
0.01 0
0.01 0
0.01 0
0.01 0
0.01 0
0.01 0
0.01 0
0.01 0
0.01 0
0.01 0
0.01 0
0.01 0
0.01 0
0.01 0
0.01 0
0.01 0
0.01 0
0.01 0
0.01 0
0.01 0
0.01 0
0.01 0
0.01 0
0.01 0
0.01 0
0.01 0
0.01 0
0.01 0
0.01 0
0.01 0
0.01 0
0.01 0
0.01 0
0.01 0
0.01 0
0.01 0
0.01 0
0.01 0
0.01 0
0.01 0
0.01 0
0.01 0
0.01 0
0.01 0
0.01 0
0.01 0
0.01 0
0.01 0
0.01 0
0.01 0
0.01 0
0.01 0
0.01 0
0.01 0
0.01 0
0.01 0
0.01 0
0.01 0
0.01 0
0.01 0
0.01 0
0.01 0
0.01 0
0.01 0
0.02 0
0.02 0
0.02 0
0.02 0
0.02 0
0.02 0
0.02 0
0.02 0
0.02 0
0.02 0
0.02 0
0.02 0
0.02 0
0.02 0
0.02 0
0.02 0
0.02 0
0.02 0
0.02 0
0.02 0
0.02 0
0.02 0
0.02 0
0.02 0
0.02 0
0.02 0
0.02 0
0.02 0
0.02 0
0.02 0
0.02 0
0.02 0
0.02 0
0.02 0
0.02 0
0.02 0
0.02 0
0.02 0
0.02 0
0.02 0
0.02 0
0.02 0
0.02 0
0.02 0
0.02 0
0.02 0
0.02 0
0.02 0
0.02 0
0.02 0
0.02 0
0.02 0
0.02 0
0.02 0
0.02 0
0.02 0
0.02 0
0.02 0
0.02 0
